id,date,year,month,state_code,state_name,actual_rainfall_mm,rfs_raw,normal_rainfall_mm,deviation_pct,no_actual_rainfall_reported
10374,2009-10-24,2009,10,35,Andaman And Nicobar Islands,,0.0,8.76,,True
10409,2009-10-25,2009,10,35,Andaman And Nicobar Islands,,0.0,9.81,,True
10444,2009-10-26,2009,10,35,Andaman And Nicobar Islands,,0.0,8.05,,True
10479,2009-10-27,2009,10,35,Andaman And Nicobar Islands,,0.0,8.28,,True
10514,2009-10-28,2009,10,35,Andaman And Nicobar Islands,,0.0,8.21,,True
10549,2009-10-29,2009,10,35,Andaman And Nicobar Islands,,0.0,13.79,,True
10584,2009-10-30,2009,10,35,Andaman And Nicobar Islands,,0.0,8.08,,True
10619,2009-10-31,2009,10,35,Andaman And Nicobar Islands,,0.0,8.37,,True
10654,2009-11-01,2009,11,35,Andaman And Nicobar Islands,,0.0,7.77,,True
10689,2009-11-02,2009,11,35,Andaman And Nicobar Islands,,0.0,10.05,,True
10724,2009-11-03,2009,11,35,Andaman And Nicobar Islands,,0.0,9.62,,True
10759,2009-11-04,2009,11,35,Andaman And Nicobar Islands,,0.0,12.66,,True
10794,2009-11-05,2009,11,35,Andaman And Nicobar Islands,,0.0,12.54,,True
10829,2009-11-06,2009,11,35,Andaman And Nicobar Islands,,0.0,10.86,,True
10864,2009-11-07,2009,11,35,Andaman And Nicobar Islands,,0.0,11.28,,True
10899,2009-11-08,2009,11,35,Andaman And Nicobar Islands,,0.0,9.4,,True
10934,2009-11-09,2009,11,35,Andaman And Nicobar Islands,,0.0,10.68,,True
10969,2009-11-10,2009,11,35,Andaman And Nicobar Islands,,0.0,7.4,,True
11004,2009-11-11,2009,11,35,Andaman And Nicobar Islands,,0.0,7.85,,True
11039,2009-11-12,2009,11,35,Andaman And Nicobar Islands,,0.0,7.3,,True
11074,2009-11-13,2009,11,35,Andaman And Nicobar Islands,,0.0,7.06,,True
11109,2009-11-14,2009,11,35,Andaman And Nicobar Islands,,0.0,9.91,,True
